URL,SIZE (BYTES),NO OF OUTLINKS,CONTENT-TYPE
https://www.dailymail.co.uk/news/index.html,408090,332,text/html
https://www.dailymail.co.uk/news/article-6721589/The-truth-finally-Mother-Paul-Hollywoods-23-year-old-lover-posts-Instagram-video.html,537642,968,text/html
https://www.dailymail.co.uk/news/article-6723133/A-bin-credible-100-000-Volunteer-army-Mail-readers-joining-Great-British-Spring-Clean.html,539655,972,text/html
https://www.dailymail.co.uk/news/article-6724901/James-Middleton-allows-Nazi-propaganda-peddled-Boomf.html,537751,969,text/html
https://www.dailymail.co.uk/news/article-6721711/Steamy-video-Miranda-Lamberts-new-husband-shows-dancing-shirtless.html,544190,969,text/html
https://www.dailymail.co.uk/news/headlines/index.html,276820,499,text/html
https://www.dailymail.co.uk/news/article-6725325/ISIS-bride-Alabama-says-wants-pay-therapy-comes-home.html,537176,969,text/html
https://www.dailymail.co.uk/news/article-6723133/amp/A-bin-credible-100-000-Volunteer-army-Mail-readers-joining-Great-British-Spring-Clean.html,289805,764,text/html
https://www.dailymail.co.uk/news/article-6722847/Jussie-Smolletts-siblings-say-vilified-irresponsible-media.html,562158,977,text/html
https://www.dailymail.co.uk/news/article-6725413/EU-countries-copyright-reforms-aimed-Google-Facebook.html,527931,965,text/html
https://www.dailymail.co.uk/news/prince_william/index.html,493800,631,text/html
https://www.dailymail.co.uk/news/article-6721711/amp/Steamy-video-Miranda-Lamberts-new-husband-shows-dancing-shirtless.html,285805,765,text/html
https://www.dailymail.co.uk/news/article-6724023/Will-ISIS-bride-Shamima-Begum-use-BABY-door-Britain.html,626629,1006,text/html
https://www.dailymail.co.uk/news/article-6718477/Bohoo-ASOS-retailers-MPs-call-cut-waste-amid-new-1p-fashion-tax-demand.html,528514,965,text/html
https://www.dailymail.co.uk/news/article-6724895/Furious-mother-42-slams-NHS-medic-brands-four-year-old-son-OVERWEIGHT.html,532851,968,text/html
https://www.dailymail.co.uk/news/article-6724131/Man-54-arrested-no-blacks-racist-graffiti.html,523021,963,text/html
https://www.dailymail.co.uk/news/article-6723327/Samantha-Markle-urges-sister-Meghan-dad-trip.html,541946,965,text/html
https://www.dailymail.co.uk/news/article-6724309/Michael-Jackson-accusers-speak-abuse-trailer-Leaving-Neverland-documentary.html,538651,966,text/html
https://www.dailymail.co.uk/news/article-6727205/Brave-surfers-massive-swells-punishing-Tropical-Cyclone-Oma-threatens-smash-Queensland.html,194502,205,text/html
https://www.dailymail.co.uk/news/royals/index.html,493293,623,text/html
https://www.dailymail.co.uk/news/article-6724901/amp/James-Middleton-allows-Nazi-propaganda-peddled-Boomf.html,287810,765,text/html
https://www.dailymail.co.uk/news/article-6719075/Royal-Mail-unveils-Marvel-superheroes-15-stamp-collection-featuring-Hulk-Spider-Man-others.html,531288,976,text/html
https://www.dailymail.co.uk/news/article-6724329/Hitlers-mountain-lair-revealed-haunting-new-photo-album-showing-leaders-expensive-tastes.html,196048,200,text/html
https://www.dailymail.co.uk/news/article-6727483/Disgruntled-airport-employee-Gatwick-drone-chaos-source-claims.html,525232,967,text/html
https://www.dailymail.co.uk/news/article-6723255/Volunteers-clear-rubbish-clogged-canal-waste-mountain-return-just-YEAR-later.html,528140,968,text/html
https://www.dailymail.co.uk/news/article-6720339/Tobacco-tycoon-Travers-Candyman-Beynon-offers-tattoo-fans-company-logo-FREE.html,530008,963,text/html
https://www.dailymail.co.uk/news/kate_middleton/index.html,494868,630,text/html
https://www.dailymail.co.uk/news/article-6724091/Fascinating-unseen-photos-taken-Nazi-soldier-Germans-Dunkirk.html,208665,197,text/html
https://www.dailymail.co.uk/news/theresa_may/index.html,489223,632,text/html
https://www.dailymail.co.uk/news/article-6727285/Councils-spend-150m-year-caring-4-500-child-refugees.html,531997,965,text/html
https://www.dailymail.co.uk/news/article-6722851/Ticket-bought-Ireland-scoops-153-MILLION-EuroMillions-jackpot.html,544741,973,text/html
https://www.dailymail.co.uk/news/article-6723133/A-bin-credible-100-000-Volunteer-army-Mail-readers-joining-Great-British-Spring-Clean.html?ico=amp-comments-addcomment,539655,973,text/html
https://www.dailymail.co.uk/news/article-6724753/Amir-Khan-blasts-arrogant-jihadi-bride-Shamima-Begum-giving-Muslims-bad-name.html,557694,980,text/html
https://www.dailymail.co.uk/news/article-6724221/Pornhub-star-21-held-knifepoint-Tinder-date-tried-rape-her.html,528826,962,text/html
https://www.dailymail.co.uk/news/article-6719433/Charos-husband-Kjell-Rasten-79-dies-self-inflicted-gunshot-wound.html,528986,961,text/html
https://www.dailymail.co.uk/news/article-6726679/Doria-Ragland-spotted-LA-daughter-Meghan-Markle-parties-300K-baby-shower.html,549993,976,text/html
https://www.dailymail.co.uk/news/article-6725171/Traumatised-fashionista-22-left-worlds-WORST-haircut-stylist-butchered-locks.html,530632,968,text/html
https://www.dailymail.co.uk/news/article-6726267/Academy-Awards-Serena-Williams-Jose-Andres-Trevor-Noah-present-Best-Picture-Oscar-nominees.html,534709,963,text/html
https://www.dailymail.co.uk/news/article-6724023/amp/Will-ISIS-bride-Shamima-Begum-use-BABY-door-Britain.html,357411,774,text/html
https://www.dailymail.co.uk/news/article-6725039/Cops-arrest-man-1973-cold-case-murder-11-year-old-Linda-OKeefe.html,547468,976,text/html
https://www.dailymail.co.uk/news/article-6724023/amp/Will-ISIS-bride-Shamima-Begum-use-BABY-door-Britain.html?ico=amp_mostReadNews,357460,773,text/html
https://www.dailymail.co.uk/news/article-6719153/U-S-states-sue-Trump-administration-showdown-border-wall-funds.html,540510,964,text/html
https://www.dailymail.co.uk/news/article-6726315/Jussie-Smollett-agreed-talk-police-again.html,549499,972,text/html
https://www.dailymail.co.uk/news/article-6721135/Gwyneth-Paltrow-opens-fraught-relationship-Harvey-Weinstein.html,551132,969,text/html
https://www.dailymail.co.uk/news/article-6725227/Lancashire-adventure-seeker-abseils-active-volcano-doing-HANDSTAND-edge.html,527690,966,text/html
https://www.dailymail.co.uk/news/article-6724255/The-grim-fate-Allied-prisoners-hands-Nazi-war-criminals-WWII.html,194862,203,text/html
https://www.dailymail.co.uk/news/article-6720221/American-ISIS-bride-face-60-YEARS-jail-returns-US.html,537871,974,text/html
https://www.dailymail.co.uk/news/article-6726721/Australian-taxpayers-spend-50M-false-asylum-claims.html,525571,963,text/html
https://www.dailymail.co.uk/news/article-6722277/amp/Tristan-Thompson-seen-sneaking-two-women-bedroom-singles-Valentines-Day-party.html?ico=amp_dontMiss,309672,766,text/html
https://www.dailymail.co.uk/news/article-6724891/Britains-overweight-dog-sheds-two-half-stone-strict-diet-lots-walkies.html,533099,971,text/html
https://www.dailymail.co.uk/news/article-6661399/Great-British-Bake-Offs-Paul-Hollywood-splashes-1million-love-nest.html,525532,961,text/html
https://www.dailymail.co.uk/news/article-6720947/Photographs-pre-fame-Frank-Sinatra-global-phenomenon.html,170229,174,text/html
https://www.dailymail.co.uk/news/article-6718893/Downing-Street-snubs-Donald-Trumps-demand-Britain-takes-ISIS-fighters.html,537705,970,text/html
https://www.dailymail.co.uk/news/article-6726735/British-born-born-no-brain-learns-count-surf-receiving-treatment-Australia.html,534967,966,text/html
https://www.dailymail.co.uk/news/article-6721073/Millions-Chinese-citizens-deemed-untrustworthy-nations-social-credit-system.html,526269,967,text/html
https://www.dailymail.co.uk/news/article-6724491/UK-weather-Balmy-Britain-hotter-Athens-Madrid-Rome-weekend.html,168157,177,text/html
https://www.dailymail.co.uk/news/article-6726229/Muellers-Russia-report-soon-week.html,535479,964,text/html
https://www.dailymail.co.uk/news/article-6722823/Nervous-Nigerian-brothers-filmed-taking-ride-share-Jussie-Smollett-attack.html,563002,975,text/html
https://www.dailymail.co.uk/news/article-6725585/Love-Island-star-Charlie-Brake-shares-footage-bungling-burglar-sent-flying.html,529252,965,text/html
https://www.dailymail.co.uk/news/article-6721871/Barack-Obama-dines-Steph-Curry-Chrissy-Teigen-John-Legend.html,534907,969,text/html
https://www.dailymail.co.uk/news/article-6723049/John-Wayne-interview-Playboy-makes-racist-homophobic-comments-resurfaces.html,553779,975,text/html
https://www.dailymail.co.uk/news/article-6719039/Home-Secretary-looking-carefully-call-rewrite-treason-law.html,536483,966,text/html
